index, 0000000060, temp, 55.700, fisrtframe, 36.901, 16frames_time, 127.833, imgproc_time, 43.882, 
index, 0000000061, temp, 55.700, fisrtframe, 32.911, 16frames_time, 126.660, imgproc_time, 59.839, 
index, 0000000062, temp, 55.700, fisrtframe, 39.893, 16frames_time, 134.639, imgproc_time, 92.751, 
index, 0000000063, temp, 55.700, fisrtframe, 32.912, 16frames_time, 127.657, imgproc_time, 50.865, 
index, 0000000064, temp, 55.700, fisrtframe, 32.909, 16frames_time, 127.727, imgproc_time, 58.842, 
index, 0000000065, temp, 55.700, fisrtframe, 32.963, 16frames_time, 127.708, imgproc_time, 60.837, 
index, 0000000066, temp, 55.700, fisrtframe, 43.881, 16frames_time, 128.654, imgproc_time, 64.825, 
index, 0000000067, temp, 55.700, fisrtframe, 35.904, 16frames_time, 128.657, imgproc_time, 81.780, 
index, 0000000068, temp, 55.700, fisrtframe, 32.908, 16frames_time, 126.656, imgproc_time, 103.720, 
index, 0000000069, temp, 55.700, fisrtframe, 35.903, 16frames_time, 128.653, imgproc_time, 58.843, 
index, 0000000070, temp, 56.000, fisrtframe, 35.634, 16frames_time, 130.557, imgproc_time, 47.858, 
index, 0000000071, temp, 56.000, fisrtframe, 34.975, 16frames_time, 130.043, imgproc_time, 49.867, 
index, 0000000072, temp, 56.000, fisrtframe, 32.436, 16frames_time, 125.874, imgproc_time, 48.867, 
index, 0000000073, temp, 56.000, fisrtframe, 33.910, 16frames_time, 127.658, imgproc_time, 69.812, 
index, 0000000074, temp, 56.000, fisrtframe, 31.990, 16frames_time, 125.985, imgproc_time, 47.871, 
index, 0000000075, temp, 56.000, fisrtframe, 30.916, 16frames_time, 127.293, imgproc_time, 48.868, 
index, 0000000076, temp, 56.000, fisrtframe, 34.541, 16frames_time, 130.074, imgproc_time, 51.885, 
index, 0000000077, temp, 56.000, fisrtframe, 33.909, 16frames_time, 127.658, imgproc_time, 61.828, 
index, 0000000078, temp, 56.000, fisrtframe, 33.552, 16frames_time, 126.781, imgproc_time, 59.838, 
index, 0000000079, temp, 56.000, fisrtframe, 32.911, 16frames_time, 126.646, imgproc_time, 59.840, 
index, 0000000080, temp, 56.000, fisrtframe, 32.911, 16frames_time, 126.660, imgproc_time, 63.827, 
index, 0000000081, temp, 56.000, fisrtframe, 34.009, 16frames_time, 127.964, imgproc_time, 57.845, 
index, 0000000082, temp, 56.000, fisrtframe, 33.907, 16frames_time, 129.622, imgproc_time, 62.831, 
index, 0000000083, temp, 56.000, fisrtframe, 31.913, 16frames_time, 125.786, imgproc_time, 58.841, 
index, 0000000084, temp, 56.000, fisrtframe, 32.842, 16frames_time, 126.246, imgproc_time, 53.856, 
index, 0000000085, temp, 56.000, fisrtframe, 31.915, 16frames_time, 125.662, imgproc_time, 56.846, 
index, 0000000086, temp, 56.000, fisrtframe, 35.864, 16frames_time, 130.740, imgproc_time, 71.830, 
index, 0000000087, temp, 56.000, fisrtframe, 36.001, 16frames_time, 128.434, imgproc_time, 49.866, 
index, 0000000088, temp, 56.000, fisrtframe, 30.836, 16frames_time, 124.986, imgproc_time, 57.844, 
index, 0000000089, temp, 56.000, fisrtframe, 34.318, 16frames_time, 128.067, imgproc_time, 61.836, 
index, 0000000090, temp, 56.000, fisrtframe, 31.777, 16frames_time, 125.847, imgproc_time, 65.823, 
index, 0000000091, temp, 56.000, fisrtframe, 34.907, 16frames_time, 129.650, imgproc_time, 62.831, 
index, 0000000092, temp, 56.000, fisrtframe, 32.915, 16frames_time, 126.659, imgproc_time, 72.805, 
index, 0000000093, temp, 56.000, fisrtframe, 35.904, 16frames_time, 130.651, imgproc_time, 75.794, 
index, 0000000094, temp, 56.000, fisrtframe, 32.041, 16frames_time, 127.245, imgproc_time, 52.858, 
index, 0000000095, temp, 56.000, fisrtframe, 31.914, 16frames_time, 125.896, imgproc_time, 40.896, 
index, 0000000096, temp, 56.000, fisrtframe, 34.164, 16frames_time, 129.307, imgproc_time, 44.878, 
index, 0000000097, temp, 56.000, fisrtframe, 32.974, 16frames_time, 127.379, imgproc_time, 43.882, 
index, 0000000098, temp, 56.000, fisrtframe, 32.912, 16frames_time, 128.786, imgproc_time, 47.868, 
index, 0000000099, temp, 56.000, fisrtframe, 34.064, 16frames_time, 129.289, imgproc_time, 46.882, 
index, 0000000100, temp, 56.000, fisrtframe, 31.915, 16frames_time, 125.664, imgproc_time, 67.819, 
index, 0000000101, temp, 56.000, fisrtframe, 34.921, 16frames_time, 128.653, imgproc_time, 57.844, 
index, 0000000102, temp, 56.000, fisrtframe, 34.919, 16frames_time, 130.266, imgproc_time, 112.208, 
index, 0000000103, temp, 56.000, fisrtframe, 103.722, 16frames_time, 131.646, imgproc_time, 80.784, 
index, 0000000104, temp, 56.000, fisrtframe, 32.711, 16frames_time, 125.606, imgproc_time, 55.847, 
index, 0000000105, temp, 56.000, fisrtframe, 36.897, 16frames_time, 128.651, imgproc_time, 100.728, 
index, 0000000106, temp, 56.000, fisrtframe, 34.906, 16frames_time, 129.652, imgproc_time, 54.852, 
index, 0000000107, temp, 56.000, fisrtframe, 32.918, 16frames_time, 128.654, imgproc_time, 47.871, 
index, 0000000108, temp, 56.000, fisrtframe, 34.907, 16frames_time, 129.653, imgproc_time, 77.790, 
index, 0000000109, temp, 56.000, fisrtframe, 36.059, 16frames_time, 131.228, imgproc_time, 44.879, 
index, 0000000110, temp, 56.000, fisrtframe, 33.868, 16frames_time, 127.675, imgproc_time, 55.848, 
index, 0000000111, temp, 56.000, fisrtframe, 32.731, 16frames_time, 127.009, imgproc_time, 55.847, 
index, 0000000112, temp, 56.000, fisrtframe, 32.912, 16frames_time, 126.661, imgproc_time, 62.832, 
index, 0000000113, temp, 56.000, fisrtframe, 35.243, 16frames_time, 129.214, imgproc_time, 41.887, 
index, 0000000114, temp, 56.000, fisrtframe, 33.119, 16frames_time, 127.222, imgproc_time, 48.855, 
